Title;Authors;Abstract;Published Year;Published Month;Journal;Volume;Issue;Pages;Accession Number;DOI;Ref;Covidence #;Study;Tags
Exploring the Effectiveness of Phonics-Based Instruction for Children with down Syndrome;Lemons, Christopher J.;"Practitioners are increasingly expected to provide reading instruction to students with cognitive disabilities to help them become literate. Whereas a phonics-based approach to reading instruction is regarded as a ""best practice"" for most young children, its effectiveness for children with cognitive disabilities is unclear. The purpose of this study was to explore this issue for a sample of 24 children with Down syndrome (DS) between the ages of 7 and 16 years and to model individual children's reading growth to identify specific child characteristics predictive of this growth. Results indicate that a majority of children demonstrated statistically significant growth in letter sounds, and reading of taught sight words and decodable words. Children with DS who entered the study with more advanced word identification skills made greater gains in decodable word reading; those with more advanced phoneme segmentation skills made greater gains in nonsense word reading. Overall, findings support inclusion of phonics-based reading instruction into academic programs for children with DS. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]";2008;01-01;ProQuest LLC;;;1-69;;;;#28344;Lemons 2008;
Using a system of least prompts procedure to teach telephone skills to elementary students with cognitive disabilities;"Manley, K.; Collins, B.C.; Stenhoff, D.M.; Kleinert, H.";Using the telephone to contact others can be an important skill in maintaining friendships with peers. This investigation used a system of least prompts (SLP) procedures to teach two telephone skills to 3 elementary students with cognitive disabilities: (a) placing phone calls and (b) leaving recorded voicemail messages. The SLP procedure was effective in teaching both skills to all 3 students. Results for maintenance and generalization, however, were mixed. © 2008 Springer Science+Business Media, LLC.;2008;;Journal of Behavioral Education;17;3;221-236;;10.1007/s10864-008-9065-2;;#8197;Manley 2008;
Teachers Make It Happen: From Professional Development to Integration of Augmentative and Alternative Communication Technologies in the Classroom;Mcmillan, Julie M.;This study investigated the effects of a multiphase teacher professional development package on student use of speech-generating augmentative and alternative communication devices (SGDs). Teachers were taught (a) device operation and programming, (b) device integration and embedding using environmental arrangement strategies, and (c) systematic communication instruction using the time-delay milieu teaching procedure, within a multiple baseline design across student and teacher participants. All four teachers learned device programming and instructional procedures, and generalised as well as maintained their use. There was no effect on student SGD use during phase 1, device operation. However, all four students showed significant increases in SGD initiations during phase 2, environmental arrangement and embedding, and SGD initiations remained at high levels through phase 3, time-delay. For two students with significant disabilities, SGD initiations increased further during phase 3. All students generalized and maintained use of their SGDs for at least two months following termination of teacher professional development. This study has major implications for teacher professional development in assistive technology and augmentative and alternative communication (AAC) integration in the classroom for students with severe disabilities. Without sufficient training and support, important student outcomes such as increased participation and communication initiations for device users are unlikely to be achieved. Furthermore, this study demonstrated that measurement of student outcomes is a critical component of evidence-based professional development practices. (Contains 1 figure.);2008;09-01;Australasian Journal of Special Education;32;2;199-211;;;;#30971;Mcmillan 2008;original_search
Comparison of Static Picture and Video Prompting on the Performance of Cooking-Related Tasks by Students with Autism;"Mechling, Linda C.; Gustafson, Melissa R.";This study compared the effectiveness of static photographs and video prompts on the independent task performance of six young men with a diagnosis of autism. An adapted alternating-treatment design with baseline, comparison, withdrawal, and final treatment conditions was used to measure the percentage of cooking-related tasks completed independently by each student across the two treatments. Both procedures were effective in increasing correct task performance for all participants from baseline levels where only verbal task directions were provided. However, participants independently completed a greater number of tasks when using video prompting. During the final treatment phase, each student further increased his level of performance when using video prompting with sets of tasks receiving static picture prompts during the comparison phase.;2008;01-01;Journal of Special Education Technology;23;3;1-2;;;;#31229;Mechling 2008;
Teaching High School Age Students with Special Needs the Four Situations for Subtraction;"Miller, Karen A. Donk; Rule, Audrey C.; MacEntee, Virginia M.";"All learners, including those who qualify for special education services, should have access to learning mathematical concepts. This study examined the efficacy of using hands-on sets of materials to teach two high school students with mental retardation the four situations for subtraction. This is a mixed methods study using a simple pretest-posttest design to determine correct interpretation of subtraction story problems for different situations (take-away, comparison, completion, and whole-part-part) and correct regrouping during dynamic subtraction. Eight story problems were presented to the two participants eight weeks prior to instruction; students answered an identical posttest after twelve half-hour lessons on subtraction story problems and regrouping, which occurred during a two-and-a-half week period. Qualitative teacher observations of the two students were used to triangulate the data. On the pretest, students scored poorly, with one student completing none of the eight items correctly and the other completing three. The non-take-away subtraction situations confused the students and they made many regrouping errors during dynamic subtraction. On the posttest, both students solved all the problems correctly. Teacher observations indicated that students found the hands-on materials engaging and motivating, using the manipulative's to help them during regrouping. The materials and method of teaching were effective for the following reasons: the sets of objects suited the concrete developmental stage of the students; a variety of colorful and exciting materials were used to pique and sustain student interest; the teacher modeled and verbally explained how to solve the problems using the hands-on materials; the teacher encouraged interaction and elicited students explanations; and students were moved from the concrete manipulative's to the more abstract nature of word problems. The authors recommend that these materials not only be used with primary grade students to teach subtraction situations, but with other students with special needs (19 references; 2 tables, one containing photographs of materials and the other showing the pretest/posttest questions).";2008;02-10;Online Submission;;;1-10;;;;#26844;Miller 2008;
The effect of reading instruction on the self-concept and self-esteem of pupils with severe intellectual disabilities;Moseley, S.;;2008;;JOURNAL OF IN℡LECTUAL DISABILITY RESEARCH;52;8-9;682;;;;#1475;Moseley 2008;
Teaching emergency phone numbers to youth with developmental disabilities;Ozen, A.;The purpose of the present study was to investigate the acquisition, maintenance, and generalization effects of antecedent prompt and testing procedure (APTP) on teaching emergency phone numbers to youth with developmental disabilities. Three youths with mental retardation participated in the study. All participants were inclusion students at a regular school. A multiple probe design across behaviors with probe conditions was used in the study. Maintenance (i.e., one and three weeks after the termination of the intervention) and generalization across trainers probe sessions were conducted. Parents' opinions regarding teaching emergency phone . numbers to their children were also included in the study The findings showed that APTP was effective teaching emergency phone numbers to youths with mental retardation at acquisition, maintenance, and generalization levels. Furthermore, the social validity results of the study were very positive in general.;2008;;International Journal of Special Education;23;2;85-95;;;;#8317;Ozen 2008;
A Spanish intervention programme for students with special education needs: Effects on intellectual capacity and academic achievement;"Pérez, L.F.; Beltrán, J.A.Jesús A.";The purpose of the study was to determine whether the application of a school intervention programme based on the theory of multiple intelligences improves the academic achievement of students with low intellectual capacity, and whether the intervention programme also improves their level of general intelligence. The assessment design is quasi-experimental, with a non-equivalent control group, and with pre- and post-treatment measurements. The independent variable is the administration of the programme and the dependent variables are participants' intellectual capacity and academic achievement in subject matters considered essential in the curriculum - mathematics, language and social sciences. The study was carried out with 113 students aged between 11 and 16 years. The results show that the project has fully achieved the proposed goals, contributed to scientific knowledge about the development of intelligence and shown that the teaching of processes is one of the most effective methods to increase academic learning. Significant improvements were observed in learning and in intellectual capacity.;2008;;European Journal of Special Needs Education;23;2;147-156;;10.1080/08856250801947846;;#8244;Pérez 2008;
"Assessing the Effects of ""Corrective Reading Decoding B1"" with a High School Student with Intellectual and Developmental Disabilities: A Case Study";"Peterson, James L.; Marchand-Martella, Nancy E.; Martella, Ronald C.";"Although ""Corrective Reading Decoding"" has been validated as effective over a wide range of students, there is a lack of information on its effectiveness with older students having intellectual and developmental disabilities (IDD). Thus, the purpose of this investigation was to determine the effectiveness of ""Corrective Reading Decoding B1"" on the reading skills of a high school student with IDD. Pre- and posttest data were collected on the ""Woodcock-Johnson III (WJ-III)."" Scores were compared to a previous administration of the ""Woodcock-Johnson Revised (WJ-R)."" Within-program assessments were also completed. Results showed that improvements occurred across the majority of the subtests and all reading clusters; gains were also evident when scores were compared to the normative group. Results of the within-program assessments showed mastery of skills taught within the ""Corrective Reading Decoding B1"" program. (Contains 1 table.)";2008;01-01;Journal of Direct Instruction;8;1;41-52;;;;#26874;Peterson 2008;
A Pilot Study to Determine the Efficacy of a Social Story [TM] Intervention for a Child with Autistic Disorder, Intellectual Disability and Limited Language Skills;"Reynhout, Georgina; Carter, Mark";Social Stories[TM] have gained wide acceptance as an intervention for children with autism spectrum disorders (ASD) yet extant research provides only circumscribed empirical evidence in support of their efficacy. While it is claimed that Social Stories may be appropriate to children with significant levels of intellectual disability and basic language skills, limited research has been conducted with this group. This pilot study employed an ABC design using a Social Story intervention to target looking at a book during group reading time. The participant was a child with autistic disorder who had intellectual disability and limited language skills. The intervention was unsuccessful, highlighting the need to further investigate the role that both language skills and intellectual ability play in moderating response to the intervention. (Contains 1 figure.);2008;09-01;Australasian Journal of Special Education;32;2;161-175;;;;#30889;Reynhout 2008;
"The Effects of ""Reading Mastery Plus"" on the Beginning Reading Skills of Students with Intellectual and Developmental Disabilities";"Riepl, Jennifer H.; Marchand-Martella, Nancy E.; Martella, Ronald C.";"This study explored the effects of ""Reading Mastery Plus"" in grades K-2 at a Title 1 school with six students with intellectual and developmental disabilities (IDD). Two students in each of grades kindergarten, 1, and 2 participated. ""Diagnostic Indicators of Basic Early Literacy Skills (DIBELS)"" spring fluency probes were used to assess changes in students' beginning reading skills and risk status. Results indicated students made large overall gains on fluency measures. Additionally, there were several improvements in the ""DIBELS"" risk status categories. The implications for future research are discussed. (Contains 5 tables.)";2008;01-01;Journal of Direct Instruction;8;1;29-39;;;;#28670;Riepl 2008;
The Effects of Peer-Assisted Sentence-Combining Practice on Four Young Writers with Learning Disabilities;"Saddler, Bruce; Asaro, Kristie; Behforooz, Bita";"Constructing well-formed sentences is an important element of writing. However, many students struggle with this skill; in particular, writers with learning disability (LD). In this study sentence-combining practice with a peer-assistance component was used to improve the ability of four young students with LD to construct sentences and compose stories. Results support the use of sentence-combining practice to increase sentence-construction ability. Furthermore, sentence-combining instruction led to gains in story quality, use of taught constructions, and number of revisions. We also targeted transfer of the sentence-combining skills to story writing by integrating generalization training via parallel writing tasks and a Peer-Editor Checklist. Student comments suggested that the checklist increased their ability to identify the use of sentence-combining skills in each other's writing and make effective revising suggestions. (Contains 6 figures.)";2008;01-01;Learning Disabilities: A Contemporary Journal;6;1;17-31;;;;#29295;Saddler 2008;
Evaluating reading interventions for students with mild intellectual disabilities;"Sevcik, R. A.; Wise, J. C.; Romski, M. A.; Morris, R. D.";;2008;;JOURNAL OF IN℡LECTUAL DISABILITY RESEARCH;52;8-9;675;;;;#1556;Sevcik 2008;
Evidence-Based Practice in the Classroom: Evaluating a Procedure for Reducing Perseverative Requesting in an Adolescent with Autism and Severe Intellectual Disability;"Sigafoos, Jeff; Ganz, Jennifer; O'Reilly, Mark; Lancioni, Giulio";Management of inappropriate behaviour is a major priority in special education. Evidence-based practice dictates that interventions to reduce inappropriate behaviour should be evaluated at the individual level to demonstrate their efficacy in the classroom. This study illustrates the evaluation of an evidence-based procedure (response interruption) for reducing perseverative requesting in an adolescent boy with autism and severe intellectual disability. The boy used a speech-generating device to request snacks during baseline and response interruption conditions. During both conditions, the boy had to wait 30 seconds while the snack was being prepared. Requests that occurred during this wait interval were defined as perseverative. Intervention involved blocking perseverative requests and prompting the child to wait. An ABAB design was used to evaluate the effects of the response interruption procedure. The results demonstrated that response interruption effectively reduced perseverative requesting, while maintaining appropriate requesting at other times. The study illustrates how special educators might evaluate evidence-based practice in the classroom. (Contains 1 figure.);2008;04-01;Australasian Journal of Special Education;32;1;55-65;;;;#28985;Sigafoos 2008;
The effects of a leg strengthening program on the endurance run of adolescents with intellectual disabilities;Simbeck, Cathy Mohr;This study was conducted to determine the effects of a leg strengthening program on the 600 yd run/walk time of adolescents with intellectual disabilities (Fernhall & Pitetti, 2000). A single subject ABAB applied intervention analysis was replicated for each of 7 high school participants. Three males and 4 females were tested five times on the 600 yd run/walk and on a CYBEX II isokinetic dynamometer for peak torque, peak force, and average force in each leg. BMI was also calculated and testing was conducted before and every 9 weeks following the two no treatment and two treatment phases. Between weeks 2 and 9 and weeks 20 and 27, the participants received no resistance or cardiorespiratory endurance (CRE) training. During weeks 11 and 18 and 29 and 36, the participants performed only leg strengthening resistance training exercises twice a week. All participants improved in leg strength as a result of the resistance training program in the amount of weight lifted and number of repetitions performed, as evidenced by the improvement on individual progress cards. In addition, varying amounts of improvements in peak torque, peak force and average force in extensors or flexors of either leg were seen in different participants following the leg strengthening programs. After Treatment 2, there was a sizeable mean decrease in BMI of 1.76 kg/m2 and a small mean decrease of 18 s in the 600 yard run/walk. Consistent with previous studies, the muscular strength and CRE of these participants with intellectual disabilities were considerably lower than peers without intellectual disabilities. Within the limitations of this study, it can be concluded that a progressive resistance training program can increase the leg strength of high school students with intellectual disabilities in as little as 2 days a week for 8 weeks. Although strong relationships were seen in BMI and leg strength and BMI and 600 yd run/walk, reliable relationships were not found between leg strength and 600 yd run/walk. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2008;01-01;Dissertation Abstracts International: Section B: The Sciences and Engineering;69;4-B;2284-2284;;;;#17938;Simbeck 2008;
Implementation of a Programme for Students with Profound Intellectual and Multiple Disabilities in Schools: Three Case Studies;"Tadema, Annemarie C.; Vlaskamp, Carla; Ruijssenaars, Wied";;2008;;EDUCATION AND TRAINING IN DEVELOPMENTAL DISABILITIES;43;4;529-540;;;;#2195;Tadema 2008;
Increasing physical activity and self-determination for individuals with autism spectrum disorder;Todd, Teri;Despite the important benefits of physical activity, many people with autism spectrum disorder (ASD) have difficulty participating long enough to reap the rewards. Poor motor skills, difficulty planning movements, problems functioning in open environments, and low motivation combine to make sustained participation a challenge. This dissertation is a series of three studies designed to develop and assess intervention, based on self-determination theory, which promotes sustained physical activity for adolescents and young adults with ASD functioning at the low end of the spectrum. The studies were carried out at a high school for students with intellectual disabilities over three consecutive years. The results of studies and 2 were used to adapt the intervention to meet the needs of this population. Recent research has shown that when people act in a self-determined manner they become more engaged in what they are doing. The intervention for study I included one self-determination skill, self-monitoring. Goal-setting was added during study 2, this resulted in participants setting goals and self-monitoring as they walked and jogged. The intervention for the third study included 3 self-determination skills: goal-setting, self-monitoring, and self-reinforcement. The self-determination attitude of self-efficacy was measured during study 3 to better understand the relationship between self-efficacy and physical activity for individuals with ASD. Distance walked, jogged, or cycled, increased during studies 1 and 3. Visual methodologies were used during studies 2 and 3 to provide these participants with severe communication problems the opportunity to share their experiences during the physical activity with the researchers. Participants and teachers interpreted the facial expressions, which were captured with photographs, in terms of affect but their interpretations did not always match. The participants indicated that enjoyment of the activity increased over the duration of the physical activity program but this was not always obvious to the teachers. It was concluded that interventions which include self-determination skills increase engagement and enjoyment during physical activity for adolescents and young adults with ASD. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2008;01-01;Dissertation Abstracts International Section A: Humanities and Social Sciences;69;4-A;1329-1329;;;;#19393;Todd 2008;
Effects of i write now strategy on high school students with significant cognitive disabilities' participation in composing an opinion paragraph;Trela, Katherine C.;Recent attention to curriculum reform in reading, math, and science in American schools has also raised equal concern about the need to strengthen writing curriculum for all students (NCW, 2003). These reforms have charged teachers of students with significant cognitive disabilities with delivering instruction aligned with general education curriculum and that follow NCTE's guidelines for improving writing instruction for all students. However, little research in evidence-based writing practices is available to guide such instruction. For this reason, strategies that support both access to general curriculum and progress toward individual skills to support that access are critical to high school teachers as they strive to align individual education program (IEP) goals with more complex academic standards. The purpose of this study was to examine effects of the I Write NOW strategy on writing opinion paragraphs with students with significant cognitive disabilities. A multiple probe across participants design was used to determine the effects of I Write NOW strategy instruction on number of opinion paragraph components chosen correctly in response to an adapted writing prompt. A functional relationship was shown between the strategy instruction and components chosen correctly. Findings from stakeholder surveys show that parents, students, and general education personnel found the instruction to be practical and meaningful to high school students. Results from the study, limitations, and suggestions for future research and practice are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2008;01-01;Dissertation Abstracts International Section A: Humanities and Social Sciences;69;3-A;939-939;;;;#17164;Trela 2008;original_search
The effect of schema-based instruction in solving mathematics word problems: An emphasis on prealgebraic conceptualization of multiplicative relations;Xin, Y.P.;The purpose of this study was to examine the effects of a schema-based instructional strategy that emphasizes prealgebraic conceptualization of multiplicative relations on solving arithmetic word problems with elementary students with learning disabilities or problems (LP). Participants were 4 fifth graders with LP in a Midwestern urban public elementary school. An adapted multiple-probe-across-participants design was employed to assess the functional relation between the schema-based instructional strategy instruction and students' performance while solving word problems. The results of the study demonstrated the effectiveness of the schema-based instructional strategy with elementary students with LP. Introducing symbolic representation and algebraic thinking in earlier grades may facilitate a smoother transition from elementary to higher level mathematics learning and improve middle and high school mathematics performance.;2008;;Journal for Research in Mathematics Education;39;5;526-551;;;;#8160;Xin 2008;
Use of the behavioural approach in teaching counting for children with down syndrome;Abdelhameed, H.;This interventional study is concerned with the ability of twelve Egyptian children with Down syndrome to learn counting. Behavioural approach was used to teach these children to count number strings up to ten. The children were divided into three groups of four. The first group could not count at all, the second was able to count to three and the third could count to six. Observations were carried out before and after training to collect further information about their performance in counting, in a class context. According to the findings of the observation before training, children having difficulty in counting neither interacted properly with their teacher nor wanted to perform a counting task. Although, the children were at the earliest stages of the study, they were able to learn number strings to five or ten. They became competent in counting up to ten and the behavioural approach proved its effectiveness in teaching counting for children with Down syndrome.;2009;;International Journal of Special Education;24;2;82-90;;;;#11624;Abdelhameed 2009;
The efficacy of reciprocal teaching in fostering the reading literacy of students with intellectual disabilities;"Alfassi, M.; Weiss, I.; Lifshitz, H.";The purpose of this study was to investigate the effects of strategy instruction on the reading literacy of students with mild and moderate intellectual disability. Students aged 15-21 with intellectual disability (n=35) participated in 24 sessions of literacy strategy instruction (experimental condition) or remedial literacy-skill acquisition- lessons (control condition). The main objective of strategy instruction was to foster comprehension monitoring. Through shared dialogues, students were trained to generate questions about text, to summarise what was read, to clarify difficult words and to make predictions. The strategies were taught using the reciprocal teaching method developed by Palincsar and Brown. This method involves provision of support adjusted to students' difficulties and peer teaching of strategies. Control subjects were exposed to direct instruction of basic reading skills that were presented sequentially and practiced solitarily by the students. Opportunities were given to respond to questions and to summarise but no strategy instruction was provided to foster comprehension monitoring. Two different measures of comprehension and a measure of strategy use were administered to test for variation across different methods of instruction. Findings on all measures provide support for the claim that strategy instruction is indeed superior to traditional remedial methods of skill acquisition in fostering reading literacy comprehension. These findings challenge the common perception that literacy is an organic impossibility for people defined as intellectually disabled. Moreover, the results add to recent research in sociocognitive instruction that supports the need to modify prevailing methods of reading curriculum and suggests a reconceptualisation of the comprehension process and its instruction to students with intellectual disabilities.;2009;;European Journal of Special Needs Education;24;3;291-305;;10.1080/08856250903016854;;#11488;Alfassi 2009;
Pentop Computers as Tools for Teaching Multiplication to Students with Mild Intellectual Disabilities;"Bouck, Emily C.; Bassette, Laura; Taber-Doughty, Teresa; Flanagan, Sara M.; Szwed, Kathryn";;2009;;EDUCATION AND TRAINING IN DEVELOPMENTAL DISABILITIES;44;3, SI;367-380;;;;#1623;Bouck 2009;
Learning road safety skills in the classroom;"Brown, Freddy Jackson; Gillard, Duncan";;2009;;BRITISH JOURNAL OF LEARNING DISABILITIES;37;3;228-231;;10.1111/j.1468-3156.2009.00557.x;;#1728;Brown 2009;
Teaching children generalized imitation skills: A case report;"Brown Jackson, F.; Peace, N.; Parsons, R.";Generalized imitation plays an important role in the acquisition of new skills, in particular language and communication. In this case report a multiple exemplar training procedure, with an errorless learning phase, was used to teach Ben, a 13-year-old child with severe intellectual disabilities, to imitate behaviours modelled by an adult instructor. After exposure to seven multiple exemplars, Ben learned to imitate novel actions to criterion (i.e. generalized imitation). These skills were maintained at 90 percent at 6 week and 18 week follow-up. In line with earlier research, this article provides some further support for the finding that multiple exemplar training can facilitate the reliable emergence of generalized imitation skills. Topographically similar behaviours during the learning phase can be difficult to discriminate and hence can slow the learning process. Future research could explore how generalized imitation supports the development of basic communication and activity skills.;2009;;Journal of Intellectual Disabilities;13;1;9-17;;10.1177/1744629509103514;;#11469;BrownJackson 2009;
An Examination of Preference for Augmentative and Alternative Communication Devices with Two Boys with Significant Intellectual Disabilities;"Cannella-Malone, Helen I.; DeBar, Ruth M.; Sigafoos, Jeff";;2009;;AUGMENTATIVE AND ALTERNATIVE COMMUNICATION;25;4;262-273;;10.3109/07434610903384511;;#1590;Cannella-Malone 2009;
The Effects of Computer-Assisted Repeated Readings on the Reading Performance of Middle School Students with Mild Intellectual Disabilities;Cerasale, Mark William;The No Child Left Behind Act of 2001 has mandated that all public school students will be reading at grade level by the 2013-2014 school year. Florida has embarked on an agenda to ensure that the kindergarten through high school student population is reading at or above grade level by 2014. Many of Florida's low-performing student population, including middle school students with high incidence disabilities, are reading below grade level. Using a multiple baseline across subjects design, this study examined the impact of computer-assisted repeated readings on the reading performance of three middle school students with mild intellectual disabilities over the course of 67 days. Results showed an improvement in reading fluency rate using instructional level text. The study was evaluated using quality indicators of single-subject research in special education. Future research is advocated to replicate this study across different grades and exceptionalities. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.];2009;01-01;ProQuest LLC;;;1-120;;;;#26596;Cerasale 2009;
The Effects of Weighted Vests on Appropriate In-Seat Behaviors of Elementary-Age Students With Autism and Severe to Profound Intellectual Disabilities;"Cox, Amy L.; Gast, David L.; Luscre, Deanna; Ayres, Kevin M.";;2009;;FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES;24;1;17-26;;10.1177/1088357608330753;;#1599;Cox 2009;
The influence of combined exercise training on indices of obesity, physical fitness and lipid profile in overweight and obese adolescents with mental retardation.;"Elmahgoub, Sami Mohammed; Lambers, Sabine; Stegen, Sanne; Van Laethem, Christophe; Cambier, Dirk; Calders, Patrick";<bold>Introduction: </bold>This study investigated the effect of combined exercise training on indices of body composition, physical fitness and lipid profile in adolescents with mental retardation.<bold>Materials and Methods: </bold>Thirty adolescents with mental retardation (total IQ, 45-70) received exercise training (n = 15) or no training (n = 15). Groups were matched for age, sex and mental retardation. Before and after the intervention period, indices of body composition, physical fitness and lipid profile were measured.<bold>Results: </bold>In comparison with the control group, weight, body mass index, waist and fat mass decreased significantly, while relative fat-free mass increased. The level of triglycerides, total cholesterol and low-density lipoprotein decreased significantly, while high-density lipoprotein increased. Muscle strength, muscle fatigue resistance and sit-to-stand were ameliorated. PeakVO2/peak power decreased significantly. The distance covered in the 6-min );2009;;European Journal of Pediatrics;168;11;1327-1333;;;;#36473;Elmahgoub 2009;
Effects of Direct Instruction on the Reading Comprehension of Students with Autism and Developmental Disabilities;"Flores, Margaret M.; Ganz, Jennifer B.";This study investigated effects of a Direct Instruction reading comprehension program implemented with students with autism spectrum disorders (ASD) and developmental disabilities (DD). There is little research in the area of reading comprehension for students with ASD and no research as to the effectiveness of reading comprehension Direct Instruction (DI). This study extended previous research by investigating the extent to which more complex instruction could be implemented with students with ASD and DD and its effect on their reading comprehension. A multiple probe across behaviors design was used. A functional relation between Direct Instruction and reading comprehension skills and behaviors was demonstrated across all behavioral conditions and across students. Data were also collected using curriculum-based assessments and all student demonstrated improvement. Results and their implications are discussed further. (Contains 1 table and 4 figures.);2009;03-01;Education and Training in Developmental Disabilities;44;1;39-53;;;;#32324;Flores 2009;
Using a Time Timer™ to increase appropriate waiting behavior in a child with developmental disabilities;"Grey, I.; Healy, O.; Leader, G.; Hayes, D.";"This study aimed to examine the use of a predictive stimulus (Time Timer™) and delayed reinforcement to increase appropriate waiting behavior in a child with developmental disabilities and problem behavior maintained by access to tangible items and activities. The study employed a changing criterion design across settings to gradually increase reinforcement delay from 1 s to 10 min. Firstly a baseline phase was conducted to measure the duration of appropriate waiting behavior to access tangible reinforcers/activities. Phase 2 involved the use of a red cue card and the verbal instruction ""wait"". Phase 3 involved the introduction of the Time Timer™ with the cue card attached, and the verbal instruction ""wait"". Finally, Phase 4 utilised the Time Timer™ without the cue card. This method was an effective strategy for increasing appropriate waiting behavior with this participant in a school setting. The role of adding a concurrent activity during the reinforcement delay, using cues to predict reinforcement, future generalization, maintenance and the teaching of functionally equivalent skills are discussed. © 2008 Elsevier Ltd. All rights reserved.";2009;;Research in Developmental Disabilities;30;2;359-366;;10.1016/j.ridd.2008.07.001;;#11571;Grey 2009;
The effects of daily reading opportunities and teacher experience on adolescents with moderate to severe intellectual disability;Hatch, Penelope;The purpose of this study was examine the effect of providing daily access to a wide variety of age and ability appropriate texts to adolescents with moderate to severe intellectual disability. Forty-three adolescents were assigned to 2 groups based on their teachers' exposure to 40 comprehensive literacy lessons used in a previous study. Literacy gains were measured on an assessment of emergent literacy skills. A standardized reading measure was also used for 5 of the students who read at an early conventional reading level. Additionally, the number of different books that students read throughout the intervention was tracked using a student book log and compared to performance on a proxy measure of wide reading, a title recognition test. Paired samples t-tests yielded statistically significant gains on the posttest performance of emergent literacy skills for all students and on a standardized reading assessment for the 5 students who read at an early conventional level. To further examine student performance between the 2 groups, effect sizes were calculated. Results indicated that while both groups achieved a small effect, students whose teachers had exposure to the comprehensive literacy lessons received nearly twice the effect ( d = .36) as students whose teachers had not been exposed to the literacy lessons (d = .19). Furthermore, when students read at an early conventional level and were taught by teachers who had been exposed to the comprehensive literacy lessons, the effect of the intervention was even greater (d = .47). With regard to the number of different books that students read, results from a simple regression indicated that this variable was not predictive of student performance on the emergent literacy measure nor was it significantly correlated with performance on the title recognition test. Results of this study suggested that adolescents with moderate to severe intellectual disability benefit from daily access to age and ability appropriate books. When combined with instruction provided by teachers who had experience with comprehensive literacy instruction, the effect was even stronger. Furthermore, students who entered the intervention with early conventional reading skills made the greatest gains. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2009;01-01;Dissertation Abstracts International: Section B: The Sciences and Engineering;70;4-B;2261-2261;;;;#20162;Hatch 2009;
Verbal violence among students with intellectual disabilities: An examination of the effectiveness of an intervention program in lowering the use of verbal violence;"Karni-Viser, Nirit; Reiter, Shunit";;2009;;JOURNAL OF POLICY AND PRACTICE IN IN℡LECTUAL DISABILITIES;6;2, SI;121-122;;;;#1767;Karni-Viser 2009;
Students with multiple disabilities using technology-based programs to choose and access stimulus events alone or with caregiver participation;"Lancioni, Giulio E.; Singh, Nirbhay N.; O'Reilly, Mark F.; Sigafoos, Jeff; Oliva, Doretta; Cingolani, Eleonora";;2009;;RESEARCH IN DEVELOPMENTAL DISABILITIES;30;4;689-701;;10.1016/j.ridd.2008.09.002;;#1799;Lancioni 2009;
Effects of Instructional Rubrics on Class Engagement Behaviors and the Achievement of Lesson Objectives by Students with Mild Mental Retardation and Their Typical Peers;"Lee, EunJung; Lee, SoHyun";;2009;;EDUCATION AND TRAINING IN DEVELOPMENTAL DISABILITIES;44;3, SI;396-408;;;;#2077;Lee 2009;
A Comparison of Group-Oriented Contingencies and Randomized Reinforcers to Improve Homework Completion and Accuracy for Students With Disabilities;"Lynch, AnnMarie; Theodore, Lea A.; Bray, Melissa A.; Kehle, Thomas J.";;2009;;SCHOOL PSYCHOLOGY REVIEW;38;3;307-324;;;;#1905;Lynch 2009;
Use of Video Modeling to Teach Extinguishing of Cooking Related Fires to Individuals with Moderate Intellectual Disabilities;"Mechling, Linda C.; Gast, David L.; Gustafson, Melissa R.";;2009;;EDUCATION AND TRAINING IN DEVELOPMENTAL DISABILITIES;44;1;67-79;;;;#1491;Mechling 2009;
Comparison of the Effects of Static Picture and Video Prompting on Completion of Cooking Related Tasks by Students with Moderate Intellectual Disabilities;"Mechling, Linda C.; Gustafson, Melissa";;2009;;EXCEPTIONALITY;17;2;103-116;;10.1080/09362830902805889;;#1639;Mechling 2009;
Using a Personal Digital Assistant to Increase Independent Task Completion by Students with Autism Spectrum Disorder;"Mechling, Linda C.; Gast, David L.; Seid, Nicole H.";;2009;;JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS;39;10;1420-1434;;10.1007/s10803-009-0761-0;;#1667;Mechling 2009;
Increasing Comprehension of Students with Significant Intellectual Disabilities and Visual Impairments during Shared Stories;"Mims, Pamela J.; Browder, Diane M.; Baker, Joshua N.; Lee, Angel; Spooner, Fred";;2009;;EDUCATION AND TRAINING IN DEVELOPMENTAL DISABILITIES;44;3, SI;409-420;;;;#1569;Mims 2009;
